,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,FALSE
Bulbasaur,Grass,Poison,Overgrow,—,Chlorophyll,Monster,Grass,021,5355,45,49,49,65,65,45,318,53.00,FALSE
Ivysaur,Grass,Poison,Overgrow,—,Chlorophyll,Monster,Grass,021,5355,60,62,63,80,80,60,405,67.50,FALSE
Venusaur,Grass,Poison,Overgrow,—,Chlorophyll,Monster,Grass,021,5355,80,82,83,100,100,80,525,87.50,FALSE
Charmander,Fire,—,Blaze,—,Solar Power,Monster,Dragon,021,5355,39,52,43,60,50,65,309,51.50,FALSE
Charmeleon,Fire,—,Blaze,—,Solar Power,Monster,Dragon,021,5355,58,64,58,80,65,80,405,67.50,FALSE
Charizard,Fire,Flying,Blaze,—,Solar Power,Monster,Dragon,021,5355,78,84,78,109,85,100,534,89.00,FALSE
Squirtle,Water,—,Torrent,—,Rain Dish,Monster,Water 1,021,5355,44,48,65,50,64,43,314,52.33,FALSE
Wartortle,Water,—,Torrent,—,Rain Dish,Monster,Water 1,021,5355,59,63,80,65,80,58,405,67.50,FALSE
Blastoise,Water,—,Torrent,—,Rain Dish,Monster,Water 1,021,5355,79,83,100,85,105,78,530,88.33,FALSE
Caterpie,Bug,—,Shield Dust,—,Run Away,Bug,—,011,2805,45,30,35,20,20,45,195,32.50,FALSE
Metapod,Bug,—,Shed Skin,—,—,Bug,—,011,2805,50,20,55,25,25,30,205,34.17,FALSE
Butterfree,Bug,Flying,Compound Eyes,—,Tinted Lens,Bug,—,011,2805,60,45,50,90,80,70,395,65.83,FALSE
Weedle,Bug,Poison,Shield Dust,—,Run Away,Bug,—,011,2805,40,35,30,20,20,50,195,32.50,FALSE
Kakuna,Bug,Poison,Shed Skin,—,—,Bug,—,011,2805,45,25,50,25,25,35,205,34.17,FALSE
Beedrill,Bug,Poison,Swarm,—,Sniper,Bug,—,011,2805,65,90,40,45,80,75,395,65.83,FALSE
